IRC = 0
Fe -0.2811319550 -0.0064023698 -0.0104878797
O -1.2720249872 0.2336587747 1.8774017228
O 0.7609249730 -0.2453545331 -1.8387020737
O -0.1748959648 2.1073106134 -0.1857328736
O 1.7422526185 -0.0908453736 0.9760148881
O -2.2912953253 0.0849838501 -0.9267785831
O -0.4606309643 -2.1287973626 0.1478450271
H -0.4151841044 2.7517660450 0.4950896240
H 0.2810489126 2.5858933162 -0.8926067436
H 0.4552614134 -0.3557007106 -2.7494400246
H 1.7305983513 -0.2061360078 -1.8360350862
H -0.9105935932 0.3684631796 2.7651630234
H -2.2351581651 0.3049660896 1.9469545385
H -2.6553733755 0.8574995939 -1.3813637554
H -2.8579046384 -0.6652018611 -1.1544684832
O 2.8147223351 0.0564421727 0.0180142528
H 2.0226645333 -0.8729092260 1.4848333915
H -0.9189639117 -2.6243528619 0.8416012268
H -0.0829380005 -2.7716138408 -0.4698047028
H 3.3995497962 0.7058830545 0.4507801204
IRC = 2.371955
Fe -0.2728598280 0.0207679845 -0.0025184978
O -1.3200372676 0.2250175767 1.8632130355
O 0.7782398145 -0.1672574634 -1.8235905995
O -0.2674668853 2.1317865943 -0.1901070886
O 1.7764430833 -0.0230013858 0.9571635467
O -2.2946729767 0.0267342758 -0.9180458955
O -0.4264869855 -2.1006439276 0.1545080947
H -0.5032624840 2.7657040058 0.5022150976
H 0.1789071422 2.6227377050 -0.8947720299
H 0.4861072927 -0.2614885097 -2.7402217233
H 1.7480862013 -0.2071112136 -1.7915738185
H -1.0138071767 0.3578185463 2.7715424745
H -2.2873881464 0.2661451508 1.8790382675
H -2.7067785720 0.7954321957 -1.3357465338
H -2.7854084265 -0.7508250283 -1.2192372417
O 2.8486731403 -0.1678719160 -0.0035721094
H 2.0026238012 -0.6992651984 1.6205992164
H -0.8729366962 -2.5996565955 0.8533600234
H -0.0018052525 -2.7400008821 -0.4355400619
H 3.4970389294 0.4941103356 0.3017809708
IRC = 2.784955
Fe -0.2657912965 0.0223352650 0.0053051613
O -1.3293483055 0.2223930131 1.8628782372
O 0.7814709720 -0.1564149480 -1.8188315586
O -0.2898160923 2.1338134341 -0.1970189685
O 1.7837326500 -0.0102463661 0.9493019644
O -2.2823553221 0.0213588468 -0.9193551983
O -0.4416600449 -2.0994189265 0.1487204943
H -0.5265494077 2.7695044021 0.4934033667
H 0.1588773058 2.6232128316 -0.9013514485
H 0.4852577845 -0.2512534103 -2.7340498808
H 1.7507055310 -0.2099591558 -1.7888054560
H -1.0369677690 0.3533346937 2.7760251856
H -2.2969215264 0.2615262385 1.8643211193
H -2.6976006377 0.7901808266 -1.3343334753
H -2.7653041622 -0.7577773642 -1.2277853353
O 2.8507386390 -0.1927597450 -0.0111645195
H 2.0118087319 -0.6616957676 1.6365277431
H -0.8827647388 -2.5960677350 0.8526482217
H -0.0089248827 -2.7404617945 -0.4336109375
H 3.5062216092 0.4720718937 0.2724308318
IRC = 3.280683
Fe -0.2552169271 0.0226086843 0.0170037830
O -1.3407365437 0.2210051397 1.8628279877
O 0.7906848269 -0.1468864794 -1.8109221664
O -0.3104861455 2.1371819298 -0.2066258032
O 1.7776756167 0.0003179122 0.9325074735
O -2.2592258723 0.0178051521 -0.9156388384
O -0.4616148837 -2.1032814303 0.1402609841
H -0.5439845146 2.7779330689 0.4802533697
H 0.1367248393 2.6217772524 -0.9152383936
H 0.4930111798 -0.2457568691 -2.7251432437
H 1.7590716314 -0.2124349754 -1.7797672857
H -1.0670471357 0.3503533900 2.7819632922
H -2.3082418584 0.2577381564 1.8448259824
H -2.6746065369 0.7880700066 -1.3276827638
H -2.7312741537 -0.7622378491 -1.2381750222
O 2.8424400580 -0.2094585836 -0.0249353542
H 2.0114708753 -0.6242361706 1.6424842132
